"","AR_ID","NID_ID","Dam_Name","Description","Year_Removed","Latitude","Longitude","City_County","River","HUC8","State","Dam_Height_ft","Dam_Length_ft","Year_Built","Owner","Original.Use","Type_Material","Miles_Restored_US","Miles_Restored_DS","River_Miles_Reported","Last_Updated","X","X.1"
"1","AK-001","","Lake Bettinger Complex Dam","","",57.80333,-152.395,"Kodiak","","Kodiak-Afognak Islands","AK","36","251","1959","City of Kodiak","Water supply","Timber","","","","11/10/2017","",""
"2","AK-002","","Bettinger Lower Reservoir Dam B","This dam failed and was subsequently removed.","",57.80167,-152.395,"Kodiak","","Kodiak-Afognak Islands","AK","","245","1959","City of Kodiak","Water supply","Timber","","","","11/10/2017","",""
"3","AK-003","","Memory Estates Dam #1","This dam was breached by AKDNR.","",62.61833,-149.427,"Matanuska-Susitna","","Talkeetna River","AK","","379","1973","","Recreation","Earthen","","","","11/10/2017","",""
"4","AK-004","","Memory Estates Dam #2","This dam was breached by AKDNR.","",62.62667,-149.38,"Matanuska-Susitna","","Talkeetna River","AK","","444","1973","","Recreation","Earthen","","","","11/10/2017","",""
"5","AK-005","","Switzer One Dam","","1988",NA,NA,"Tongass National Forest, Juneau","Switzer Creek","Lynn Canal","AK","15","","","","","","","","","11/10/2017","",""
"6","AK-006","","Switzer Two Dam","","1988",58.365,-134.5,"Tongass National Forest, Juneau","Switzer Creek","Lynn Canal","AK","15","","","","","","","","","11/10/2017","",""
"7","AK-007","","City of Kake Dam","","2000",56.98154,-133.931,"Kake","Gunnuk Creek","Kuiu-Kupreanof-Mitkof Islands","AK","","91","1959","","Water supply","","","","","11/10/2017","",""
"8","AK-008","","Davidson Ditch Diversion Dam","This dam was severely damaged in the flood of 1967.  ","2002",65.2928,-146.404,"Fairbanks North Star","Chatanika River","Tolovana River","AK","","","1920s","","Industrial","","","","65","11/10/2017","",""
"9","AK-009","","Unnamed (Bridle Path Dam)","","2004",NA,NA,"","Allison Creek","Crosswicks-Neshaminy","AK","6","40","1976","","","Concrete","","","","11/10/2017","",""
"10","AK-010","AK00093","Lower Eklutna River Dam","","2017",61.449393,-149.32388,"Anchorage","Eklutna","Anchorage","AK","70","90","1929","Eklutna Inc","Hydropower","Concrete","","","16","2/8/2018","",""
"11","AL-001","","Marvel Slab Dam","Abandoned in the 1980s, this dam blocked access to habitat for migratory fish; resulted in habitat destruction for mussels, freshwater snails, and plants; and was a safety concern for recreational users.  ","2004",33.16564,-87.0294,"Montevallo","Cahaba River","Cahaba","AL","6","210","1965","","Bridge (consisting of 46 culverts) that allowed coal and logging trucks and strip mining equipment to cross the river","Concrete","","","","11/10/2017","",""
"12","AL-002","","Unnamed Dam","","2007",NA,NA,"","Mud Creek","Crosswicks-Neshaminy","AL","","","","Hanesville Water and Sewer","Illegally constructed to capture raw sewage leaking from a wastewater treatment plan.","","","","","11/10/2017","",""
"13","AL-003","","Unnamed Dam","","2010",32.36398,-85.1216,"Seale","Uchee Creek","Crosswicks-Neshaminy","AL","","","","","","","","","25","11/10/2017","",""
"14","AL-004","","Shades Branch Steel Ford ","","2011",33.22096,-87.0295,"West Blocton","Shades Branch","Cahaba","AL","","","","","","","","","3","11/10/2017","",""
